url,ip,country
netflix.com,54.85.175.142,US
api-global.netflix.com,54.68.113.102,US
push.prod.netflix.com,34.210.104.129,US
google.com,172.217.1.142,US
www.google.com,172.217.6.132,US
microsoft.com,40.76.4.15,US
ichnaea.netflix.com,54.148.89.232,US
doubleclick.net,172.217.9.142,US
facebook.com,31.13.93.35,IE
safebrowsing.googleapis.com,172.217.2.234,US
googleads.g.doubleclick.net,172.217.9.130,US
data.microsoft.com,40.112.143.140,US
google-analytics.com,216.58.194.68,US
clients4.google.com,172.217.6.142,US
live.com,204.79.197.212,US
secure.netflix.com,96.16.209.129,US
apple.com,17.142.160.59,US
clientservices.googleapis.com,172.217.6.131,US
nrdp51-appboot.netflix.com,52.39.133.240,US
settings-win.data.microsoft.com,64.4.54.253,US
www.googleapis.com,172.217.14.170,US
www.google-analytics.com,172.217.9.142,US
youtube.com,172.217.6.142,US
fonts.googleapis.com,172.217.9.138,US
amazonaws.com,207.171.166.22,US
update.googleapis.com,216.58.193.131,US
www.facebook.com,31.13.93.35,IE
officeapps.live.com,13.107.6.171,US
skype.com,23.102.255.237,HK
digicert.com,45.60.121.229,US
bing.com,204.79.197.200,US
ocsp.digicert.com,72.21.91.29,US
mtalk.google.com,108.177.9.188,US
accounts.google.com,172.217.14.173,US
clients1.google.com,172.217.6.142,US
googlesyndication.com,172.217.14.164,US
adservice.google.com,172.217.9.130,US
graph.facebook.com,31.13.93.19,IE
nexusrules.officeapps.live.com,52.109.12.19,US
icloud.com,17.253.144.10,US
googleadservices.com,172.217.9.130,US
yahoo.com,98.138.219.232,US
www.youtube.com,172.217.6.142,US
play.google.com,216.58.194.142,US
stats.g.doubleclick.net,64.233.169.156,US
www.googleadservices.com,216.58.194.66,US
office365.com,13.90.213.204,US
pagead2.googlesyndication.com,216.58.193.130,US
googletagmanager.com,172.217.12.72,US
www.googletagmanager.com,172.217.2.232,US
clients2.google.com,172.217.6.142,US
www.apple.com,184.86.146.78,US
fbcdn.net,31.13.93.35,IE
lh3.googleusercontent.com,172.217.9.161,US
i.ytimg.com,172.217.9.150,US
apis.google.com,172.217.14.174,US
outlook.office365.com,52.96.0.210,US
msn.com,13.82.28.61,US
connect.facebook.net,157.240.19.26,US
msedge.net,204.79.197.197,US
edge.skype.com,13.107.3.128,US
itunes.apple.com,184.86.157.207,US
login.live.com,65.55.163.90,US
config.edge.skype.com,13.107.3.128,US
events.data.microsoft.com,52.114.75.78,NL
nexus.officeapps.live.com,52.109.124.21,SG
play.googleapis.com,172.217.14.170,US
scorecardresearch.com,165.193.78.252,US
securepubads.g.doubleclick.net,172.217.14.162,US
windows.net,104.215.95.187,US
www.bing.com,13.107.21.200,US
ftl.netflix.com,45.57.41.1,US
aria.microsoft.com,104.46.106.170,US
customerevents.netflix.com,52.34.101.130,US
uiboot.netflix.com,35.165.25.72,US
ssl.google-analytics.com,172.217.1.232,US
tpc.googlesyndication.com,172.217.2.225,US
twitter.com,104.244.42.129,US
www.icloud.com,172.230.218.141,US
tile-service.weather.microsoft.com,23.33.56.217,US
