,id,url,ip
0,1,netflix.com,54.208.168.102
1,2,api-global.netflix.com,52.34.11.165
2,3,prod.netflix.com,j
3,4,push.prod.netflix.com,34.215.65.170
4,5,google.com,172.217.1.142
5,6,www.google.com,172.217.6.132
6,7,microsoft.com,13.77.161.179
7,8,ichnaea.netflix.com,52.88.90.229
8,9,doubleclick.net,172.217.9.142
9,10,g.doubleclick.net,j
10,11,facebook.com,31.13.93.35
11,12,safebrowsing.googleapis.com,74.125.138.95
12,13,googleads.g.doubleclick.net,172.217.6.162
13,14,data.microsoft.com,40.112.143.140
14,15,google-analytics.com,216.58.194.68
15,16,clients4.google.com,216.58.193.142
16,17,live.com,204.79.197.212
17,18,secure.netflix.com,96.16.209.129
18,19,apple.com,17.142.160.59
19,20,clientservices.googleapis.com,172.217.6.131
20,21,nrdp51-appboot.netflix.com,34.208.218.138
21,22,settings-win.data.microsoft.com,64.4.54.253
22,23,www.googleapis.com,172.217.12.42
23,24,www.google-analytics.com,172.217.9.142
24,25,youtube.com,172.217.6.142
25,26,googleusercontent.com,j
26,27,fonts.googleapis.com,172.217.9.138
27,28,amazonaws.com,72.21.210.29
28,29,update.googleapis.com,172.217.12.35
29,30,www.facebook.com,31.13.93.35
30,31,officeapps.live.com,13.107.6.171
31,32,skype.com,40.115.34.155
32,33,digicert.com,45.60.131.229
33,34,bing.com,204.79.197.200
34,35,ocsp.digicert.com,72.21.91.29
35,36,mtalk.google.com,173.194.200.188
36,37,accounts.google.com,172.217.14.173
37,38,clients1.google.com,216.58.193.142
38,39,googlesyndication.com,172.217.14.164
39,40,adservice.google.com,172.217.6.162
40,41,graph.facebook.com,31.13.93.19
41,42,nexusrules.officeapps.live.com,52.109.120.19
42,43,akamaiedge.net,j
43,44,icloud.com,17.253.144.10
44,45,googleadservices.com,172.217.9.162
45,46,nflxso.net,j
46,47,yahoo.com,72.30.35.9
47,48,www.youtube.com,172.217.2.238
48,49,play.google.com,216.58.194.142
49,50,ytimg.com,j
50,51,stats.g.doubleclick.net,64.233.169.154
51,52,www.googleadservices.com,172.217.1.226
52,53,1.nflxso.net,j
53,54,office365.com,52.165.129.203
54,55,pagead2.googlesyndication.com,172.217.6.162
55,56,googletagmanager.com,172.217.12.72
56,57,www.googletagmanager.com,172.217.2.232
57,58,clients2.google.com,172.217.6.142
58,59,www.apple.com,184.86.146.78
59,60,fbcdn.net,31.13.93.35
60,61,lh3.googleusercontent.com,172.217.9.161
61,62,i.ytimg.com,172.217.12.86
62,63,apis.google.com,172.217.14.174
63,64,outlook.office365.com,40.97.121.34
64,65,push.apple.com,j
65,66,msn.com,13.82.28.61
66,67,facebook.net,j
67,68,connect.facebook.net,157.240.19.26
68,69,msedge.net,204.79.197.197
69,70,edge.skype.com,13.107.3.128
70,71,mp.microsoft.com,j
71,72,akadns.net,j
72,73,itunes.apple.com,184.86.157.207
73,74,login.live.com,65.55.163.76
74,75,config.edge.skype.com,13.107.3.128
75,76,events.data.microsoft.com,52.114.128.43
76,77,com.akadns.net,j
77,78,nexus.officeapps.live.com,52.109.124.24
78,79,xx.fbcdn.net,j
79,80,play.googleapis.com,172.217.12.42
80,81,scorecardresearch.com,165.193.78.252
81,82,securepubads.g.doubleclick.net,172.217.1.226
82,83,windows.net,104.215.95.187
83,84,www.bing.com,204.79.197.200
84,85,ls.apple.com,j
85,86,ftl.netflix.com,45.57.40.1
86,87,aria.microsoft.com,104.46.106.170
87,88,pipe.aria.microsoft.com,j
88,89,customerevents.netflix.com,52.34.101.130
89,90,uiboot.netflix.com,54.186.194.37
90,91,ssl.google-analytics.com,216.58.194.72
91,92,weather.microsoft.com,j
92,93,ggpht.com,j
93,94,tpc.googlesyndication.com,172.217.2.225
94,95,twitter.com,104.244.42.1
95,96,adnxs.com,j
96,97,prod.ftl.netflix.com,j
97,98,dsce9.akamaiedge.net,j
98,99,www.icloud.com,172.230.218.141
99,100,nccp.netflix.com,j
100,101,tile-service.weather.microsoft.com,23.33.56.217
